is_scam,cleaned_stipend_monthly,has_website,has_email,skills_count,title_word_count,desc_char_length,numeric_openings,is_bulk_hiring,is_wfh_short_duration,company_name_word_count,link_count_desc,contact_count_desc,all_caps_ratio_desc,keyword_count,stipend_to_skills_ratio,text_density_index,low_skills_high_urgency,is_anonymous_recruiter,readability_score,fraud_phrase_score,urgency_score,contact_risk_score,skill_richness_score
0,1050.0,1,0,7,9,334,20,0,1,2,0,0,0.01858736059479554,0,131.25,0.026865671641791045,0,0,10.980428571428575,0,0,0,0.7
0,12500.0,0,0,3,3,214,0,0,0,4,0,0,0.03428571428571429,0,3125.0,0.013953488372093023,0,1,-11.262499999999989,6,0,8,0.75
0,7500.0,0,0,5,5,3775,2,0,0,2,0,0,0.03047439522463085,0,1250.0,0.0013241525423728813,0,1,-41.51146350931674,0,0,0,0.8333333333333334
0,12750.0,1,0,7,4,605,6,0,0,2,0,0,0.01603206412825651,0,1593.75,0.006600660066006601,0,0,10.181973684210504,0,0,0,1.4
1,14000.0,1,0,6,6,1240,2,0,0,3,2,0,0.03877551020408163,0,2000.0,0.004834810636583401,0,0,50.10630627670065,6,0,8,0.8571428571428571
0,9000.0,1,0,3,5,2042,1,0,0,1,0,0,0.04,0,2250.0,0.0024473813020068525,0,0,22.160728021978002,0,0,0,0.5
0,11000.0,0,0,1,2,531,0,0,0,5,0,0,0.037122969837587005,0,5500.0,0.0037593984962406013,0,1,13.690490196078457,0,0,0,0.3333333333333333
0,28100.0,1,0,4,5,385,8,0,0,1,0,0,0.03470031545741325,0,5620.0,0.012953367875647668,0,0,42.732500000000044,6,0,8,0.6666666666666666
0,9000.0,1,0,1,9,610,5,0,0,4,0,0,0.028056112224448898,0,4500.0,0.014729950900163666,0,0,33.03476744186048,0,0,0,0.1
0,10500.0,0,0,4,2,1199,0,0,0,5,0,0,0.015228426395939087,0,2100.0,0.0016666666666666668,0,1,24.474252032520354,0,0,0,1.3333333333333333
1,12000.0,0,0,8,9,868,1,0,0,4,0,0,0.019830028328611898,0,1333.3333333333333,0.010356731875719217,0,1,13.074467084639537,0,0,0,0.8
0,6500.0,1,0,11,7,418,2,0,0,6,0,0,0.03293413173652695,0,541.6666666666666,0.016706443914081145,0,0,51.368397435897464,0,0,0,1.375
0,7750.0,1,0,4,2,1380,0,0,0,5,0,0,0.019197207678883072,0,1550.0,0.001448225923244026,0,0,21.48829931972793,0,0,0,1.3333333333333333
0,13000.0,1,0,4,7,270,1,0,0,5,0,0,0.05069124423963134,0,2600.0,0.025830258302583026,0,0,25.69571428571433,0,0,0,0.5
0,5500.0,1,0,2,9,223,1,0,0,3,0,0,0.021621621621621623,0,1833.3333333333333,0.04017857142857143,0,0,-1.813405172413752,0,0,0,0.2
0,10000.0,1,0,12,4,595,2,0,0,4,0,0,0.022132796780684104,0,769.2307692307693,0.006711409395973154,0,0,11.371890331890341,0,0,0,2.4
0,5000.0,1,0,6,4,1691,4,0,0,5,0,0,0.025234318673395817,0,714.2857142857143,0.002364066193853428,0,0,11.962114630467596,0,1,0,1.2
0,11000.0,0,0,5,2,112,0,0,0,2,0,0,0.01098901098901099,0,1833.3333333333333,0.017699115044247787,0,1,5.375,0,0,0,1.6666666666666667
0,5500.0,1,0,4,4,228,1,0,0,2,0,0,0.049723756906077346,0,1100.0,0.017467248908296942,0,0,33.58803571428575,0,0,0,0.8
0,17500.0,1,0,5,6,275,2,0,0,6,0,0,0.030434782608695653,0,2916.6666666666665,0.021739130434782608,0,0,9.416607142857174,0,0,0,0.7142857142857143
0,10000.0,1,0,3,5,243,2,0,0,1,0,0,0.05102040816326531,0,2500.0,0.020491803278688523,0,0,30.327000000000027,0,0,0,0.5
0,15000.0,1,0,2,5,1362,1,0,0,4,0,0,0.02475685234305924,0,5000.0,0.003668378576669112,0,0,24.957525906735782,0,1,0,0.3333333333333333
0,5500.0,1,0,4,4,835,0,0,0,2,0,0,0.03183791606367583,0,1100.0,0.004784688995215311,0,0,16.282932692307725,0,0,0,0.8
0,7500.0,0,0,3,4,855,4,0,0,2,0,0,0.026239067055393587,0,1875.0,0.004672897196261682,0,1,39.883021978022015,0,0,0,0.6
0,25000.0,1,0,4,4,879,1,0,0,5,0,0,0.05907172995780591,0,5000.0,0.004545454545454545,0,0,22.91051415797321,0,0,0,0.8
1,2250.0,1,0,7,5,541,2,0,0,1,0,0,0.02546296296296296,0,281.25,0.00922509225092251,0,0,33.04000000000002,0,0,0,1.1666666666666667
0,13500.0,1,0,12,6,963,12,0,0,2,0,0,0.04466501240694789,0,1038.4615384615386,0.006224066390041493,0,0,-5.332807692307654,0,0,0,1.7142857142857142
0,15000.0,1,0,9,5,1526,2,0,0,2,0,0,0.035398230088495575,0,1500.0,0.0032743942370661427,0,0,36.2294816053512,0,0,0,1.5
0,17500.0,1,0,6,4,153,2,0,0,5,0,0,0.056910569105691054,0,2500.0,0.025974025974025976,0,0,16.191964285714306,0,0,0,1.2
1,13000.0,1,0,4,12,1221,0,0,0,2,0,0,0.016260162601626018,0,2600.0,0.009819967266775777,0,0,38.12855731225298,0,0,0,0.3076923076923077
0,4500.0,1,0,3,5,1074,5,0,0,1,0,0,0.028312570781426953,0,1125.0,0.004651162790697674,0,0,29.610146809712063,0,1,0,0.5
0,12500.0,1,0,7,4,413,1,0,0,2,0,0,0.039755351681957186,0,1562.5,0.00966183574879227,0,0,36.11073275862071,0,0,0,1.4
0,11500.0,0,0,12,5,749,1,0,0,2,0,0,0.025559105431309903,0,884.6153846153846,0.006666666666666667,0,1,17.741000000000014,0,0,0,2.0
1,12500.0,1,0,5,5,1326,1,0,0,2,0,0,0.056169429097605895,0,2083.3333333333335,0.0037678975131876413,0,0,18.194000000000017,0,0,0,0.8333333333333334
0,16501.5,1,0,5,3,689,0,0,0,3,0,0,0.014184397163120567,0,2750.25,0.004347826086956522,0,0,22.2842391304348,0,0,0,1.25
1,6500.0,0,0,10,4,886,1,0,0,6,0,0,0.06666666666666667,0,590.9090909090909,0.004509582863585118,0,1,41.25625000000002,0,1,0,2.0
0,93000.0,1,0,3,5,493,3,0,0,4,0,0,0.028169014084507043,0,23250.0,0.010121457489878543,0,0,-46.03155172413793,0,0,0,0.5
0,27500.0,1,0,1,5,1049,3,0,0,2,0,0,0.01990632318501171,0,13750.0,0.004761904761904762,0,0,45.582142857142856,0,1,0,0.16666666666666666
0,4500.0,0,0,4,9,741,3,0,0,1,0,0,0.02800658978583196,0,900.0,0.012129380053908356,0,1,12.23185567010313,0,0,0,0.4
0,7250.0,1,0,5,5,7,0,0,0,2,0,0,0.14285714285714285,0,1208.3333333333333,0.625,0,0,36.62000000000003,0,0,0,0.8333333333333334
0,12750.0,1,0,4,5,174,1,0,0,4,0,0,0.04929577464788732,0,2550.0,0.02857142857142857,0,0,13.40744565217392,0,0,0,0.6666666666666666
0,9000.0,1,0,5,3,411,10,0,0,4,0,0,0.020895522388059702,0,1500.0,0.007281553398058253,0,0,17.271666666666647,0,0,0,1.25
0,5000.0,0,0,1,6,1168,1,0,0,2,0,0,0.018867924528301886,0,2500.0,0.0051325919589392645,0,1,36.27368644067798,0,1,0,0.14285714285714285
0,11000.0,0,0,1,5,690,10,0,0,3,0,0,0.031578947368421054,0,5500.0,0.00723589001447178,0,1,9.177491408934742,6,1,8,0.16666666666666666
0,11000.0,0,0,1,9,1262,20,0,0,3,0,0,0.017391304347826087,0,5500.0,0.007125890736342043,0,1,38.22492549335482,0,0,0,0.1
0,5500.0,0,0,2,8,1265,10,0,1,3,0,0,0.029980657640232108,0,1833.3333333333333,0.00631911532385466,0,1,37.96741148531956,0,0,0,0.2222222222222222
0,12500.0,1,0,4,4,352,2,0,0,2,0,0,0.02768166089965398,0,2500.0,0.0113314447592068,0,0,14.933636363636396,0,0,0,0.8
0,23000.0,1,0,4,3,863,15,0,0,2,0,0,0.041726618705035974,0,4600.0,0.003472222222222222,0,0,22.144115384615418,0,0,0,1.0
